Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
AT1G07140	0.123915419353877	7.96858227676657	1.43239226740488	0.166955164301159	0.304210810222875	-5.82392232316871
AT1G31220	0.276697650535791	3.15279135098545	1.43224664115306	0.166996340854261	0.304249235146454	-5.37077048740848
AT3G50630	-0.230401627036603	4.54042623010837	-1.43221560129096	0.167005118590115	0.304249235146454	-5.64878626330593
AT2G36660	0.524968026595638	0.422037415260401	1.43194426552923	0.167081865245024	0.304347337739664	-4.8547411402087
AT4G01090	-0.266175447428151	5.14996528143347	-1.43192313400978	0.167087843437435	0.304347337739664	-5.71254788151586
AT3G05490	-0.350635850511183	6.42492963597141	-1.43169073490651	0.167153601468885	0.304440808619673	-5.81536475170307
AT5G58790	0.291310912004477	2.34148286637279	1.43151782048011	0.167202541673319	0.304503635289294	-5.23818078609115
AT5G65710	-0.188323856093034	4.47122467333209	-1.43131615763396	0.167259633180962	0.30457433132945	-5.66102155441494
AT5G46410	-0.216569485077462	5.81720520591078	-1.43127825363798	0.167270365699454	0.30457433132945	-5.78405582778454
AT1G53750	0.103083986060145	8.17743536531329	1.43122761016582	0.167284706268139	0.30457433132945	-5.82378501986502
AT5G65060	0.225897417614129	3.76068581392311	1.43113017154421	0.167312300476141	0.304598263583821	-5.5081110310676
AT5G43820	-0.306492978539926	1.13510355383104	-1.43085171291716	0.16739117902522	0.304702630982101	-4.95399524651033
AT3G09405	0.381839957598572	1.57637967484336	1.43082574146315	0.167398537447994	0.304702630982101	-5.0646453097367
AT3G43890	-0.630614921207101	2.11145744179065	-1.43049010201716	0.167493656748283	0.304849446058867	-5.11716409501374
AT4G23650	0.12587736286715	7.90188272446445	1.43040226753892	0.167518555992983	0.30485452333438	-5.82728232132052
AT4G35250	-0.896919692123016	5.20737906335212	-1.43034966176874	0.167533470061959	0.30485452333438	-5.70093565896121
AT5G61190	0.320846308469604	5.3543544086761	1.43032722367933	0.167539831728121	0.30485452333438	-5.76000822064735
